,Image Path,Label
6460,rev14/49/49_20211205 (1891).JPG,DEER
16665,rev04/31/31_20210115 (3).JPG,HUMANORVEHICLE
16202,rev01/28/28_20201019 (3).JPG,HUMANORVEHICLE
26467,rev03/15/15_20210108 (6610).JPG,HORSE
11198,rev03/12/12_20210112 (402).JPG,WILDBOAR
7220,rev14/10/10_20211204 (3227).JPG,DEER
20825,rev11/49/49_20210914 (11865).JPG,COW
3488,rev06/22/22_20210409 (6105).JPG,CERVIDAE
29494,rev06/2/2_20210415 (8013).JPG,HARE
1981,rev04/9/9_20210115 (423).JPG,EMPTY
6169,rev14/21/21_20211207 (6318).JPG,DEER
12374,rev08/47/47_20210528 (972).JPG,FOX
15315,rev13/24/24_20211115 (2739).JPG,BADGER
1450,rev06/50/50_20210413 (18780).JPG,EMPTY
5220,rev12/50/50_20211002 (7287).JPG,CERVIDAE
14213,rev03/24/24_20201231 (1239).JPG,FOX
15174,rev14/11/11_20211215 (264).JPG,BADGER
25468,rev04/15/15_20210208 (10255).JPG,HORSE
19066,rev06/47/47_20210406 (133).JPG,GENET
28268,rev06/20/20_20210327 (3463).JPG,LEPORID
4104,rev13/50/50_20211017 (1223).JPG,CERVIDAE
9755,rev03/41/41_20210109 (140).JPG,WILDBOAR
6865,rev12/38/38_20211003 (348).JPG,DEER
26539,rev04/35/35_20210130 (1807).JPG,HORSE
21803,rev05/2/2_20210225 (1425).JPG,COW
19659,rev04/35/35_20210213 (2780).JPG,COW
23534,rev14/9/9_20211213 (2315).JPG,FALLOWDEER
6388,rev14/10/10_20211126 (775).JPG,DEER
8457,rev14/4/4_20211214 (3820).JPG,DEER
13991,rev15/20/20_20220114 (450).JPG,FOX
22347,rev01/9/9_20201104 (673).JPG,FALLOWDEER
14812,rev14/2/2_20211204 (1478).JPG,FOX
12783,rev08/47/47_20210613 (2129).JPG,FOX
5227,rev13/9/9_20211018 (510).JPG,CERVIDAE
26675,rev11/44/44_20210909 (198).JPG,HORSE
19606,rev14/21/21_20211126 (2553).JPG,COW
28599,rev01/6/6_20201029 (1843).JPG,LEPORID
14452,rev10/46/46_20210805 (927).JPG,FOX
10062,rev13/24/24_20211120 (2935).JPG,WILDBOAR
23334,rev12/33/33_20211012 (625).JPG,FALLOWDEER
12804,rev12/42/42_20210918 (28).JPG,FOX
9971,rev04/1/1_20210204 (500).JPG,WILDBOAR
26977,rev11/46/46_20210823 (1582).JPG,HORSE
16372,rev11/38/38_20210815 (64).JPG,HUMANORVEHICLE
23575,rev01/21/21_20201027 (335).JPG,FALLOWDEER
19548,rev09/9/9_20210630 (1670).JPG,COW
6835,rev06/36/36_20210410 (9211).JPG,DEER
23338,rev01/21/21_20201108 (4172).JPG,FALLOWDEER
23494,rev08/33/33_20210611 (796).JPG,FALLOWDEER
29388,rev11/20/20_20210817 (882).JPG,RABBIT
28232,rev14/11/11_20211129 (66).JPG,LEPORID
